title,overview
Nas,"Nasir bin Olu Dara Jones (/nɑːˈsɪər/; born September 14, 1973), better known by his stage name Nas (/nɑːz/), is an American rapper, songwriter, and entrepreneur.[1] Rooted in the New York rap scene, he is regarded as one of the greatest rappers of all time.[2][3][4] The son of jazz musician Olu Dara, Nas has released twelve studio albums since 1994, with seven of them certified platinum and multi-platinum in the US.[5]"
2pac,"Tupac Amaru Shakur (/ˈtuːpɑːk ʃəˈkʊər/ TOO-pahk shə-KOOR; born Lesane Parish Crooks, June 16, 1971 – September 13, 1996), better known by his stage name 2Pac and by his alias Makaveli, was an American rapper, songwriter, and actor. He is considered by many to be one of the most influential rappers of all time. Much of Shakur's work has been noted for addressing contemporary social issues that plagued inner cities, and he is considered a symbol of resistance and activism against inequality."
Jay-z,"Shawn Corey Carter (born December 4, 1969), known professionally as Jay-Z (stylized as JAY-Z),[a] is an American rapper, songwriter, record executive, businessman, media proprietor,[citation needed] and record producer. He is widely regarded as one of the most influential hip-hop artists in history,[4] and often cited as one of the greatest rappers of all time.[5][6]"
Run-DMC,"Run-DMC was an American hip hop group from Hollis, Queens, New York, founded in 1983 by Joseph Simmons, Darryl McDaniels, and Jason Mizell. Run-DMC is regarded as one of the most influential acts in the history of hip hop culture and one of the most famous hip hop acts of the 1980s. Along with Beastie Boys, LL Cool J and Public Enemy, the group pioneered new school hip hop music. The group was among the first to highlight the importance of the MC and DJ relationship.[3]"
"Tyler, the Creator","Tyler Gregory Okonma (born March 6, 1991), better known as Tyler, the Creator, is an American rapper, musician, songwriter, producer, actor, and visual artist.[2][3][4][5] He rose to prominence in the early 2010s as the co-founder and de facto leader of alternative hip hop group Odd Future and has performed on and produced songs for nearly every Odd Future release.[6]"
Drake,"Aubrey Drake Graham[6] (born October 24, 1986) is a Canadian rapper, singer, songwriter, actor, and entrepreneur.[7] A prominent figure in popular music, Drake is credited for popularizing the Toronto sound. He first gained recognition as an actor on the teen drama television series Degrassi: The Next Generation (2001-2007); intent on pursuing a career in music, he left the series after releasing his debut mixtape Room for Improvement. He released two more independent projects, Comeback Season and So Far Gone, before signing to Young Money Entertainment.[8]"
Beyoncé,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say; née Knowles; born September 4, 1981)[5] is an American singer, actress and record producer. Born and raised in Houston, Texas, Beyoncé performed in various singing and dancing competitions as a child. She rose to fame in the late 1990s as the lead singer of Destiny's Child, one of the best-selling girl groups of all time. Beyoncé is often cited as an influence by other artists."
Brockhampton,"Brockhampton (stylized in all caps) is an American alternative hip hop group founded as AliveSinceForever in San Marcos, Texas, United States, in 2010. In 2014, the band rebranded as Brockhampton. Led by Kevin Abstract and formed partially through the online forum ""KanyeToThe"", Brockhampton is a self-described boy band, so-called in an effort to redefine the term.[10][11][12][13][14][15] Complex magazine describes the group as ""gay, black, white, DIY, ambitious, all-inclusive, and would-be pop stars,"" and this diversity is what largely distinguishes their lyrics and sound.[13][14][15] The group consists of vocalists Kevin Abstract, Matt Champion, Merlyn Wood, and Dom McLennon, vocalists/producers Joba, Bearface and Jabari Manwa and producers Romil Hemnani and Kiko Merley, as well as graphic designer Henock ""HK"" Sileshi, photographer Ashlan Grey, web designer Roberto Ontenient (who also features prominently in voice skits), and manager Jon Nunes."
Kanye West,"Kanye Omari West (/ˈkɑːnjeɪ/; born June 8, 1977) is an American rapper, record producer, and fashion designer.[5] He has been influential in the 21st-century development of mainstream hip hop and popular music in general.[6]"
A Tribe Called Quest,"A Tribe Called Quest was an American hip hop group formed in St. Albans, Queens, New York in 1985,[3][4][1] originally composed of rapper and main producer Q-Tip,[5] rapper Phife Dawg, DJ and co-producer Ali Shaheed Muhammad, and rapper Jarobi White. The group is regarded as a pioneer of alternative hip hop music.[6]"
Fornite Battle Royale,"Fortnite Battle Royale is a free-to-play battle royale video game developed and published by Epic Games. It is a companion game to Fortnite: Save the World, a cooperative survival game with construction elements. It was initially released in early access on September 26, 2017, for Microsoft Windows, macOS, PlayStation 4, and Xbox One, followed by ports for iOS,[b] Android,[b] and Nintendo Switch the following year. Epic dropped the early access label for the game on June 29, 2020. Versions for the PlayStation 5 and Xbox Series X/S were released as launch titles in late 2020."
PlayStation5,"The PlayStation 5 (PS5) is a home video game console developed by Sony Interactive Entertainment. Announced in 2019 as the successor to the PlayStation 4, the PS5 was released on November 12, 2020 in Australia, Japan, New Zealand, North America, and South Korea, and November 19, 2020 onwards in other major markets except China. The console is scheduled to be launched in India on February 2, 2021.[1]"
Twitch gameplay,"Twitch gameplay is a type of video gameplay scenario that tests a player's response time. Action games such as shooters, sports, multiplayer online battle arena, and fighting games often contain elements of twitch gameplay. For example, first-person shooters such as Counter-Strike as well as Call of Duty shooters require quick reaction times for the players to shoot enemies, and fighting games such as Street Fighter and Mortal Kombat require quick reaction times to attack or counter an opponent. Other video game genres may also involve twitch gameplay. For example, the puzzle video game Tetris gradually speeds up as the player makes progress."
Call of Duty: Black Ops,"Call of Duty: Black Ops is a 2010 first-person shooter[1] video game developed by Treyarch and published by Activision. It was released worldwide in November 2010 for Microsoft Windows, the PlayStation 3, Xbox 360,[2] and Wii,[3] with a separate version for Nintendo DS developed by n-Space.[4][5] Aspyr later released the game for OS X in September 2012.[6] It is the seventh title in the Call of Duty series and the third to be developed by Treyarch. It serves as the sequel to Call of Duty: World at War.[7]"
Xbox Series X,"The Xbox Series X and the Xbox Series S (collectively, the Xbox Series X/S[b]) are home video game consoles developed by Microsoft. They were both released on November 10, 2020 as the fourth generation of the Xbox console family, succeeding the Xbox One family.[3]"
Rocket League,"Rocket League is a vehicular soccer video game developed and published by Psyonix. The game was first released for Microsoft Windows and PlayStation 4 in July 2015, with ports for Xbox One and Nintendo Switch being released later on, and a graphics update for Xbox Series X/S in 2020. In June 2016, 505 Games began distributing a physical retail version for PlayStation 4 and Xbox One, with Warner Bros. Interactive Entertainment taking over those duties by the end of 2017. Versions for macOS and Linux were also released in 2016, but support for their online services was dropped in 2020. The game went free-to-play in September 2020."
League of Legends,"League of Legends (abbreviated LoL or League) is a 2009 multiplayer online battle arena video game developed and published by Riot Games for Microsoft Windows and macOS. Inspired by a modified version of Warcraft III called Defense of the Ancients, Riot's founders sought to develop a stand-alone game in the same genre. Since its release on October 27, 2009, the game has been free-to-play, and monetized through purchasable character customization."
Dumpling,"Dumpling is a broad classification for a dish that consists of pieces of dough (made from a variety of starch sources) wrapped around a filling, or of dough with no filling. The dough can be based on bread, flour or potatoes, and may be filled with meat, fish, cheese, vegetables, fruits or sweets. Dumplings may be prepared using a variety of methods, including baking, boiling, frying, simmering or steaming and are found in many world cuisines."
Big Mac,The Big Mac is a hamburger sold by international fast food restaurant chain McDonald's. It was introduced in the Greater Pittsburgh area in 1967 and nationwide in 1968. It is one of the company's flagship products.
Poutine,"Poutine (/puːˈtiːn/ poo-TEEN, Quebec French: [put͡sɪn] (listen)) is a dish of french fries and cheese curds topped with a brown gravy. It emerged in Quebec, Canada, in the late 1950s in the Centre-du-Québec region, though its origins are uncertain and there are several competing claims of having invented the dish. For many years it was perceived negatively and mocked, and even used by some to stigmatize Quebec society. Poutine later became celebrated as a symbol of Québécois culture and the province of Quebec. It has long been associated with Quebec cuisine, and its rise in prominence has led to popularity throughout the rest of Canada, in the northern United States, and internationally."
Hamburger,"A hamburger (also burger for short) is a sandwich consisting of one or more cooked patties of ground meat, usually beef, placed inside a sliced bread roll or bun. The patty may be pan fried, grilled, smoked or flame broiled. Hamburgers are often served with cheese, lettuce, tomato, onion, pickles, bacon, or chiles; condiments such as ketchup, mustard, mayonnaise, relish, or a ""special sauce"", often a variation of Thousand Island dressing; and are frequently placed on sesame seed buns. A hamburger topped with cheese is called a cheeseburger.[1]"
Hot dog,"A hot dog[2][3] (also spelled hotdog[citation needed]) is a food consisting of a grilled or steamed sausage served in the slit of a partially sliced bun.[4] It can also refer to the sausage itself. The sausage used is the wiener (Vienna sausage) or frankfurter (Frankfurter Würstchen, also just called frank). The names of these sausages also commonly refer to their assembled dish.[5] Hot dog preparation and condiments vary worldwide. Typical condiments include mustard, ketchup, mayonnaise, relish, and cheese sauce, and common garnishes include onions, sauerkraut, jalapeños, chili, grated cheese, coleslaw, bacon, and olives. Hot dog variants include the corn dog and pigs in a blanket. The hot dog's cultural traditions include the Nathan's Hot Dog Eating Contest and the Oscar Mayer Wienermobile."
Pretzel,"A pretzel (listen (help·info)), from dialectal German pronunciation, standard German: Breze(l) (listen (help·info)) is a type of baked pastry made from dough that is commonly shaped into a knot. The traditional pretzel shape is a distinctive symmetrical form, with the ends of a long strip of dough intertwined and then twisted back onto itself in a particular way (a pretzel loop or pretzel bow). In modern times, pretzels come in a wide range of shapes."
Gordon Ramsay,"Gordon James Ramsay OBE (born 8 November 1966) is a British chef, restaurateur, writer, and television personality. He was born in Johnstone, Scotland, and raised in Stratford-upon-Avon, England. He founded his global restaurant chain, Gordon Ramsay Restaurants, in 1997, with it being awarded 16 Michelin stars in total and currently holds a total of seven.[2][3][4] After rising to fame on the British television miniseries Boiling Point in 1999, Ramsay had become one of the best-known and most influential chefs in the UK by 2004.[5][6]"
Fried Dough,"Fried dough is a North American food associated with outdoor food stands in carnivals, amusement parks, fairs, rodeos, and seaside resorts. ""Fried dough"" is the specific name for a particular variety of fried bread made of a yeast dough; see the accompanying images for an example of use on carnival-booth signs. Fried dough is also known as fry dough, fry bread (bannock), fried bread, doughboys, elephant ears, scones, pizza fritte, frying saucers, and buñuelos (in the case of smaller pieces). These foods are virtually identical to each other and some yeast dough versions of beignets, and recognizably different from other fried dough foods such as doughnuts or fritters."
Apple,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops and sells consumer electronics, computer software, and online services. It is considered one of the Big Five companies in the U.S. information technology industry, along with Amazon, Google, Microsoft, and Facebook.[8][9][10]"
Android,"Android is a mobile operating system based on a modified version of the Linux kernel and other open source software, designed primarily for touchscreen mobile devices such as smartphones and tablets. Android is developed by a consortium of developers known as the Open Handset Alliance and commercially sponsored by Google. It was unveiled in November 2007, with the first commercial Android device launched in September 2008."
Cloud Computing,"Cloud computing is the on-demand availability of computer system resources, especially data storage (cloud storage) and computing power, without direct active management by the user.[1] The term is generally used to describe data centers available to many users over the Internet.[2] Large clouds, predominant today, often have functions distributed over multiple locations from central servers. If the connection to the user is relatively close, it may be designated an edge server."
Microsoft,"Microsoft Corporation (/ˈmaɪkroʊsɒft/ MY-kroh-soft) is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports, and sells computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue;[3] it was the world's largest software maker by revenue as of 2016.[4] It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook."
Amazon,"Amazon.com, Inc.[7] (/ˈæməzɒn/ AM-ə-zon), is an American multinational technology company based in Seattle, Washington, which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook.[8][9][10][11] The company has been referred to as ""one of the most influential economic and cultural forces in the world"", as well as the world's most valuable brand.[12][13]"
Huawei,"Huawei Technologies Co., Ltd. (/ˈhwɑːˌweɪ/; Chinese: 华为; pinyin: Huáwéi) is a Chinese multinational technology company headquartered in Shenzhen, Guangdong. It designs, develops, and sells telecommunications equipment and consumer electronics.[4]"
Facebook,"Facebook (stylized as facebook) is an American online social media and social networking service based in Menlo Park, California, and a flagship service of the namesake company Facebook, Inc. It was founded by Mark Zuckerberg, along with fellow Harvard College students and roommates Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes."
Instagram,"Instagram (commonly abbreviated to IG or Insta)[7] is an American photo and video sharing social networking service owned by Facebook, created by Kevin Systrom and Mike Krieger and originally launched on iOS in October 2010. The Android version was released in April 2012, followed by a feature-limited desktop interface in November 2012, a Fire OS app in June 2014, and an app for Windows 10 in October 2016. The app allows users to upload media that can be edited with filters and organized by hashtags and geographical tagging. Posts can be shared publicly or with pre-approved followers. Users can browse other users' content by tags and locations and view trending content. Users can like photos and follow other users to add their content to a feed, a function that seems to be discontinued as of September 2020."
Sony,"Sony Corporation (ソニー株式会社, Sonī kabushiki gaisha, /ˈsoʊni/ SOH-nee, commonly known as Sony and stylized as SONY) is a Japanese multinational conglomerate corporation headquartered in Kōnan, Minato, Tokyo.[7][1] The company operates as one of the world's largest manufacturers of consumer and professional electronic products, the largest video game console company, the second largest video game publisher, the second largest record company, as well as one of the most comprehensive media companies,[8][9] being the largest Japanese media conglomerate by size overtaking the privately held, family-owned Yomiuri Shimbun Holdings, the largest Japanese media conglomerate by revenue."
Toshiba,"Toshiba Corporation (株式会社東芝, Kabushiki gaisha Tōshiba, English: /təˈʃiːbə, tɒ-, toʊ-/[2]) is a Japanese multinational conglomerate headquartered in Minato, Tokyo. Its diversified products and services include power, industrial and social infrastructure systems, elevators and escalators, electronic components, semiconductors, hard disk drives, printers, batteries, lighting, logistics, as well as IT solutions such as quantum cryptography.[3][4] It was one of the biggest manufacturers of personal computers, consumer electronics, home appliances, and medical equipment. As a semiconductor company and the inventor of flash memory, Toshiba had been one of the top 10 in the chip industry until its flash memory unit was spun off as Toshiba Memory, later Kioxia, in the late 2010s.[5][6][7]"
Donald Trump,"Donald John Trump (born June 14, 1946) is the 45th and current president of the United States. Before entering politics, he was a businessman and television personality."
Joe Biden,"Joseph Robinette Biden Jr. (/ˈbaɪdən/ BY-dən; born November 20, 1942) is an American politician and the president-elect of the United States. Biden defeated incumbent President Donald Trump in the 2020 presidential election. A member of the Democratic Party, Biden served as the 47th vice president during the Obama administration from 2009 to 2017. He represented Delaware in the United States Senate from 1973 to 2009."
Barack Obama,"Barack Hussein Obama II (/bəˈrɑːk huːˈseɪn oʊˈbɑːmə/ (listen) bə-RAHK hoo-SAYN oh-BAH-mə;[1] born August 4, 1961) is an American politician and attorney who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American president of the United States. He previously served as a U.S. senator from Illinois from 2005 to 2008 and an Illinois state senator from 1997 to 2004."
Constitution of the United States,"The Constitution of the United States is the supreme law of the United States of America.[2] The Constitution, originally comprising seven articles, delineates the national frame of government. Its first three articles embody the doctrine of the separation of powers, whereby the federal government is divided into three branches: the legislative, consisting of the bicameral Congress (Article I); the executive, consisting of the president and subordinate officers (Article II); and the judicial, consisting of the Supreme Court and other federal courts (Article III). Article IV, Article V and Article VI embody concepts of federalism, describing the rights and responsibilities of state governments, the states in relationship to the federal government, and the shared process of constitutional amendment. Article VII establishes the procedure subsequently used by the thirteen States to ratify it. It is regarded as the oldest written and codified national constitution in force.[3]"
Democracy,"Democracy (Greek: δημοκρατία, dēmokratiā, from dēmos 'people' and kratos 'rule') is a form of government in which the people have the authority to choose their governing legislators. The decisions on who is considered part of the people and how authority is shared among or delegated by the people have changed over time and at different speeds in different countries, but they have included more and more of the inhabitants of all countries. Cornerstones include freedom of assembly and speech, inclusiveness and equality, membership, consent, voting, right to life and minority rights."
Republican Party,"The Republican Party, also referred to as the GOP (Grand Old Party), is one of the two major contemporary political parties in the United States, along with its main, historic rival, the Democratic Party."
Democratic Party,"The Democratic Party is one of the two major contemporary political parties in the United States, along with its main, historic rival, the Republican Party. Tracing its heritage back to Thomas Jefferson and James Madison's Democratic-Republican Party, the modern-day Democratic Party was founded around 1828 by supporters of Andrew Jackson, making it the world's oldest active political party.[13]"
